SC_ID_LOGRADOURO,GEOMETRIA
9003F37C,"LINESTRING(-53.8108103 -25.6778927,-53.81012 -25.6780615,-53.8094536 -25.6782244,-53.8081104 -25.678564,-53.806674 -25.678927,-53.8058725 -25.6791297,-53.8056955 -25.6791741,-53.8053082 -25.6792759,-53.8047097 -25.6794251,-53.8039917 -25.6796084,-53.8038931 -25.6796331,-53.8023996 -25.6800076,-53.8022714 -25.6800403,-53.801106 -25.6803347,-53.7999785 -25.6806195,-53.799287 -25.6807943,-53.798545 -25.6809819,-53.7978719 -25.681152,-53.7967234 -25.6814423,-53.7955719 -25.6817334)"
1558A9D1,"LINESTRING(-53.8034091 -25.6839624,-53.8033759 -25.6838517,-53.8032521 -25.6834169,-53.8030338 -25.6826482,-53.8029996 -25.6825313,-53.8025915 -25.6811351,-53.8022714 -25.6800403,-53.8022315 -25.6799038,-53.8020671 -25.6793414,-53.8020149 -25.6791627)"
F0D334EC,"LINESTRING(-53.8024655 -25.6847714,-53.8019016 -25.682931,-53.8018661 -25.6828152,-53.8014431 -25.6814349,-53.801106 -25.6803347,-53.801064 -25.6801977,-53.8006549 -25.6788627,-53.8002786 -25.677624)"
37EBE4BB,"LINESTRING(-53.810379 -25.6532896,-53.8108146 -25.6547103,-53.8112258 -25.6560524,-53.8116652 -25.6574455,-53.8120691 -25.6588255,-53.8124978 -25.6602386,-53.8129301 -25.6616082,-53.8130119 -25.6618388,-53.8132551 -25.6628436,-53.813598 -25.6640823,-53.8139879 -25.6652869)"
736565AB,"LINESTRING(-53.8054966 -25.67985,-53.8053082 -25.6792759,-53.8052646 -25.6791365,-53.8050805 -25.6784658,-53.8048796 -25.6777825,-53.8045026 -25.6765563,-53.8041704 -25.6753502,-53.8037628 -25.6741023,-53.8034485 -25.6730924,-53.803409 -25.6729671,-53.8030548 -25.6718456,-53.8030183 -25.6717299,-53.8027037 -25.6707312,-53.8023198 -25.6694972,-53.8019614 -25.6682929,-53.801589 -25.6670528,-53.8012737 -25.666103)"
5C81EDF2,"LINESTRING(-53.8037077 -25.6594097,-53.8050355 -25.659103,-53.8061923 -25.6588025,-53.806335 -25.6587672,-53.8076601 -25.6584386,-53.8087601 -25.6581658,-53.8089164 -25.6581271,-53.8089745 -25.6581127,-53.8103197 -25.6577791,-53.8116652 -25.6574455,-53.8129877 -25.6571136,-53.814003 -25.656829,-53.8147295 -25.6566684)"
6B8E7F2D,"LINESTRING(-53.7912127 -25.6797837,-53.7923564 -25.6795466,-53.7927319 -25.679464,-53.7936628 -25.6792655,-53.7941232 -25.6791574,-53.7947266 -25.6789894,-53.7952748 -25.6788453,-53.795852 -25.6786936,-53.7970036 -25.678407,-53.7991435 -25.6778745,-53.8001926 -25.6776468,-53.8002786 -25.677624,-53.8030466 -25.676903,-53.8031532 -25.6768767,-53.8045026 -25.6765563,-53.8058668 -25.6762023,-53.8066121 -25.6760198,-53.8067865 -25.6759689,-53.807284 -25.6758486)"
9E705E10,"LINESTRING(-53.8134764 -25.6756072,-53.8128376 -25.6757462,-53.811611 -25.6760847,-53.8114595 -25.6761262,-53.8111988 -25.6761988,-53.8108081 -25.6762912,-53.8103502 -25.6764041,-53.8096434 -25.6765664,-53.8089949 -25.6767154,-53.8076515 -25.6770561,-53.8063728 -25.6773804,-53.8061851 -25.6774332,-53.8048796 -25.6777825,-53.8035364 -25.6781216)"
E544EA7B,"LINESTRING(-53.8062077 -25.6773609,-53.8058668 -25.6762023,-53.8055127 -25.6750052,-53.8051318 -25.6737677,-53.8048258 -25.6727655,-53.804779 -25.6726212,-53.8044171 -25.6715055,-53.8043842 -25.6713902,-53.8040936 -25.6703757,-53.8036948 -25.6691607,-53.8033125 -25.6679471,-53.8021881 -25.6669041,-53.8012737 -25.666103,-53.8011003 -25.6658998,-53.7999304 -25.6649096)"
EF2B51D7,"LINESTRING(-53.8155309 -25.6549893,-53.8145997 -25.6552242,-53.8135889 -25.6554689,-53.8125676 -25.6557194,-53.8112258 -25.6560524,-53.8098874 -25.6563791,-53.8093622 -25.6565123,-53.8092164 -25.6565493,-53.8085437 -25.6567373,-53.8072359 -25.6570515,-53.805909 -25.6573879,-53.8057624 -25.657421,-53.8046214 -25.6577094,-53.803297 -25.6580232)"
F54DE0AF,"LINESTRING(-53.8055092 -25.6803838,-53.8053409 -25.6804337,-53.8043213 -25.6806826,-53.8042263 -25.6807077,-53.8027287 -25.681099,-53.8025915 -25.6811351,-53.8014431 -25.6814349,-53.8003164 -25.6817297,-53.7996559 -25.6819025,-53.7988868 -25.6821037,-53.7981963 -25.6822844,-53.7977773 -25.6823959,-53.7970556 -25.6825828,-53.7959259 -25.6828776)"
0E9A43FC,"LINESTRING(-53.8127413 -25.6656207,-53.8123585 -25.664381,-53.8119854 -25.6631729,-53.8116034 -25.6619364,-53.8111815 -25.6605698,-53.8107533 -25.6591833,-53.8103197 -25.6577791,-53.8098874 -25.6563791,-53.8096344 -25.6555598,-53.8095742 -25.6553649,-53.8094701 -25.6550279,-53.8090416 -25.6536401)"
