codigo_ibge_municipio,codigo_cartografico,geometria,area_calculada
4104501,01.03.002.3.0054.070A,"MULTIPOLYGON(((-53.80171611117089 -25.6806682008282,-53.80159716130499 -25.68027680656876,-53.80150117759909 -25.680300759236015,-53.801620127190546 -25.680692153596947,-53.80171611117089 -25.6806682008282)))",0.00000004041670
4104501,01.03.002.3.0054.0300,"MULTIPOLYGON(((-53.80246383455926 -25.68108982901844,-53.80234488174825 -25.680698435628713,-53.80215291403192 -25.680746341917825,-53.80227186629406 -25.68113773551053,-53.80246383455926 -25.68108982901844)))",0.00000008083361
4104501,01.03.002.3.0054.0600,"MULTIPOLYGON(((-53.80190807899845 -25.680620295110337,-53.801789128583685 -25.680228901053848,-53.80159716130504 -25.68027680656876,-53.80171611117093 -25.6806682008282,-53.80181209510689 -25.680644247999332,-53.80190807899845 -25.680620295110337)))",0.00000008083336
4104501,01.03.002.3.0054.0100,"MULTIPOLYGON(((-53.80229201412081 -25.680524482953125,-53.802232538252184 -25.68032878615041,-53.802040571054235 -25.680376692247844,-53.80210004664842 -25.680572389152033,-53.80229201412081 -25.680524482953125)))",0.00000004041666
4104501,01.03.002.3.0054.0700,"MULTIPOLYGON(((-53.80150117759909 -25.680300759236015,-53.8014051938488 -25.68032471184314,-53.801484493293636 -25.680585641504813,-53.801524143165814 -25.680716106305553,-53.801620127190546 -25.680692153596947,-53.80150117759909 -25.680300759236015)))",0.00000004041673
4104501,01.03.002.3.0054.040A,"MULTIPOLYGON(((-53.8016067473871 -25.680987907909344,-53.80157700981751 -25.68089005934197,-53.801385041390894 -25.680937964669006,-53.80141477882328 -25.681035813287117,-53.8016067473871 -25.680987907909344)))",0.00000002020843
4104501,01.03.002.3.0054.0200,"MULTIPOLYGON(((-53.801484493293614 -25.680585641504813,-53.801405193848815 -25.68032471184314,-53.801213226215026 -25.68037261687702,-53.80129252529392 -25.680633546673985,-53.801484493293614 -25.680585641504813)))",0.00000005388895
4104501,01.03.002.3.0054.0800,"MULTIPOLYGON(((-53.80234488174825 -25.680698435628713,-53.80229201412081 -25.680524482953125,-53.80210004664842 -25.680572389152033,-53.80190807899845 -25.680620295110337,-53.80181209510689 -25.680644247999332,-53.80186496212448 -25.680818200900532,-53.80196094613802 -25.680794247966432,-53.80215291403192 -25.680746341917825,-53.80234488174825 -25.680698435628713)))",0.00000008981497
4104501,01.03.002.3.0054.020A,"MULTIPOLYGON(((-53.80152414316584 -25.680716106305553,-53.801484493293614 -25.680585641504813,-53.80129252529392 -25.680633546673985,-53.80133217498318 -25.68076401154238,-53.80152414316584 -25.680716106305553)))",0.00000002694452
4104501,01.03.002.3.0054.1100,"MULTIPOLYGON(((-53.80207989785128 -25.68118564176211,-53.80196094613802 -25.680794247966432,-53.80186496212448 -25.680818200900532,-53.80176897806654 -25.68084215377442,-53.801887929230915 -25.68123354777315,-53.80207989785128 -25.68118564176211)))",0.00000008083371
4104501,01.03.002.3.0054.04AA,"MULTIPOLYGON(((-53.80163648501288 -25.68108575646535,-53.8016067473871 -25.680987907909344,-53.80141477882328 -25.681035813287117,-53.801444516311825 -25.681133661893856,-53.80163648501288 -25.68108575646535)))",0.00000002020845
4104501,01.03.002.3.0054.1000,"MULTIPOLYGON(((-53.80227186629405 -25.68113773551053,-53.80215291403192 -25.680746341917825,-53.80196094613805 -25.680794247966432,-53.80198290720002 -25.6808665079723,-53.802045296817965 -25.680850938520717,-53.80211849716441 -25.681091793525265,-53.802152091625395 -25.68108340994201,-53.802175882094865 -25.68116168866638,-53.80227186629405 -25.68113773551053)))",0.00000005658376
4104501,01.03.002.3.0054.1200,"MULTIPOLYGON(((-53.801887929230915 -25.68123354777315,-53.80176897806654 -25.68084215377442,-53.80157700981751 -25.68089005934197,-53.8016067473871 -25.680987907909344,-53.80163648501288 -25.68108575646535,-53.80169596043299 -25.681281453543583,-53.801887929230915 -25.68123354777315)))",0.00000008083380
4104501,01.03.002.3.0054.0400,"MULTIPOLYGON(((-53.80169596043299 -25.681281453543583,-53.80163648501288 -25.68108575646535,-53.801444516311825 -25.681133661893856,-53.80150399145749 -25.68132935907358,-53.80169596043299 -25.681281453543583)))",0.00000004041694
4104501,01.03.002.3.0054.0500,"MULTIPOLYGON(((-53.80210004664842 -25.680572389152033,-53.802040571054235 -25.680376692247844,-53.80198109568479 -25.680180995298507,-53.801789128583685 -25.680228901053848,-53.80190807899845 -25.680620295110337,-53.80210004664842 -25.680572389152033)))",0.00000008083328
4104501,01.03.002.3.0054.010A,"MULTIPOLYGON(((-53.802232538252184 -25.68032878615041,-53.80217306260831 -25.680133089302565,-53.80198109568479 -25.680180995298507,-53.802040571054235 -25.680376692247844,-53.802232538252184 -25.68032878615041)))",0.00000004041659
4104501,01.03.002.3.0054.0900,"MULTIPOLYGON(((-53.80186496212448 -25.680818200900532,-53.801812095106875 -25.680644247999332,-53.80171611117089 -25.6806682008282,-53.801620127190546 -25.680692153596947,-53.801524143165814 -25.680716106305553,-53.801332174983195 -25.68076401154238,-53.80138504139093 -25.680937964669006,-53.80157700981751 -25.68089005934197,-53.80176897806651 -25.68084215377442,-53.80186496212448 -25.680818200900532)))",0.00000008981511
4104501,01.03.002.3.0054.100A,"MULTIPOLYGON(((-53.8020798978513 -25.68118564176211,-53.802175882094865 -25.68116168866638,-53.802152091625395 -25.68108340994201,-53.80211849716441 -25.681091793525265,-53.802045296817965 -25.680850938520717,-53.80198290720002 -25.6808665079723,-53.8020798978513 -25.68118564176211)))",0.00000002424992
