CODIGO_CARTOGRAFICO,FACE,DIMENSAO,AZIMUTE,LAT,LNG,SC_ID_LOGRADOURO,NOM_LOGRADOURO
01.03.001.2.0048,1,139.73,285.48,-25.67016206088527,-53.800145023745706,0C5BD29F,"RUA ANTONIO NIEHEUS"
01.03.001.2.0048,2,120.33,195.32,-25.670516264795197,-53.80097543617783,2C686C6D,"AVENIDA BOTUCARIS"
01.03.001.2.0048,3,139.73,105.48,-25.671205786237476,-53.800462177247255,08C99AE1,"RUA BAHIA"
01.03.001.2.0048,4,120.33,15.32,-25.67085158232755,-53.79963176481513,1558A9D1,"AVENIDA UBIRAJARAS"
01.03.001.0.0046,1,119.77,285.48,-25.669437017782172,-53.80302398190677,0C5BD29F,"RUA ANTONIO NIEHEUS"
01.03.001.0.0046,2,120.33,195.32,-25.66981515807357,-53.80375842075496,E544EA7B,"RUA OTAVIO FRANCISCO DE MATTOS"
01.03.001.0.0046,3,119.77,105.48,-25.67048073502185,-53.803341157325335,08C99AE1,"RUA BAHIA"
01.03.001.0.0046,4,120.33,15.32,-25.670102594730455,-53.80260671847714,736565AB,"RUA LUIZ GERALDO HOLEN"
01.06.002.3.0029,1,99.81,285.47,-25.67774899593708,-53.794920199348255,4A6E811F,"RUA MATO GROSSO"
01.06.002.3.0029,2,120.33,195.31,-25.678151122978235,-53.79555868657255,8BF75653,"RUA OIAPOS"
01.06.002.3.0029,3,99.81,105.47,-25.67879273383322,-53.795237335240685,6B8E7F2D,"RUA MINAS GERAIS"
01.06.002.3.0029,4,120.33,15.31,-25.678390606792064,-53.79459884801639,F1BF0D5A,"RUA TIBIRICA"
