ID_QUADRA;VERTICE;LON_AJUSTADO;LAT_AJUSTADO;LON_OFICIAL;LAT_OFICIAL;DISTANCIA_METROS;ERRO_QUADRATICO
01.06.004.1.0023;V1;-53,81201658;-25,65895421;-53,81200782;-25,65894933;1,032;1,06505
01.06.004.1.0023;V2;-53,81086524;-25,659238;-53,81085625;-25,65923682;0,9111;0,830078
01.06.004.1.0023;V3;-53,81123427;-25,66045439;-53,81122632;-25,66045447;0,7962;0,633877
01.06.004.1.0023;V4;-53,81238561;-25,6601706;-53,81237791;-25,66016697;0,8704;0,757522
01.06.004.1.0018;V1;-53,81160043;-25,65756141;-53,81158331;-25,65756822;1,8753;3,516851
01.06.004.1.0018;V2;-53,81044632;-25,65783587;-53,81043175;-25,65785571;2,6457;6,999535
01.06.004.1.0018;V3;-53,81080322;-25,65905529;-53,81080181;-25,65907336;2,0146;4,05858
01.06.004.1.0018;V4;-53,81195733;-25,65878083;-53,81195339;-25,65878587;0,6857;0,470188
01.06.002.3.0029;V1;-53,79542298;-25,67760912;-53,79540012;-25,67762925;3,2034;10,261508
01.06.002.3.0029;V2;-53,79446662;-25,67785611;-53,79444028;-25,67786874;2,99;8,939964
01.06.002.3.0029;V3;-53,79479702;-25,67889523;-53,79475741;-25,67891248;4,408;19,430808
01.06.002.3.0029;V4;-53,79575338;-25,67864824;-53,79571726;-25,67867299;4,5472;20,677295
01.05.004.1.0019;V1;-53,81024911;-25,657898;-53,81024412;-25,65789731;0,5061;0,256117
01.05.004.1.0019;V2;-53,80909922;-25,6581865;-53,80909255;-25,65818479;0,6953;0,483384
01.05.004.1.0019;V3;-53,80947439;-25,65940145;-53,8094626;-25,65940244;1,1862;1,407055
01.05.004.1.0019;V4;-53,81062428;-25,65911295;-53,81061418;-25,65911496;1,036;1,073284
01.04.004.1.0029;V1;-53,8097686;-25,6610075;-53,80976086;-25,66100978;0,8159;0,66575
01.04.004.1.0029;V2;-53,80861774;-25,66129296;-53,80860926;-25,66129726;0,9756;0,95172
01.04.004.1.0029;V3;-53,80898895;-25,6625089;-53,80897932;-25,66251491;1,1747;1,379882
01.04.004.1.0029;V4;-53,81013981;-25,66222344;-53,81013093;-25,66222743;0,9944;0,988868
01.04.004.1.0022;V1;-53,80760237;-25,65855152;-53,80755457;-25,65856272;4,95;24,502502
01.04.004.1.0022;V2;-53,8064517;-25,6588375;-53,80640298;-25,65885017;5,0818;25,825046
01.04.004.1.0022;V3;-53,80682358;-25,66005328;-53,80677301;-25,66006784;5,3207;28,310034
01.04.004.1.0022;V4;-53,80797425;-25,6597673;-53,80792461;-25,65978037;5,1839;26,872882
01.04.004.0.0036;V1;-53,81190157;-25,66328271;-53,81188235;-25,66328494;1,9417;3,770203
01.04.004.0.0036;V2;-53,81075163;-25,66357124;-53,81073074;-25,66357244;2,0987;4,404372
01.04.004.0.0036;V3;-53,81107323;-25,66461259;-53,81104796;-25,66461613;2,564;6,573907
01.04.004.0.0036;V4;-53,81222317;-25,66432406;-53,81219958;-25,66432863;2,4181;5,847286
01.04.001.1.0005;V1;-53,80527913;-25,65613866;-53,8052806;-25,6561433;0,5366;0,287957
01.04.001.1.0005;V2;-53,80431032;-25,656378;-53,80431136;-25,65638523;0,8112;0,65808
01.04.001.1.0005;V3;-53,80468012;-25,65759429;-53,80468136;-25,6576029;0,9662;0,933557
01.04.001.1.0005;V4;-53,80564893;-25,65735495;-53,80565061;-25,65736097;0,6902;0,476405
01.03.002.3.0065;V1;-53,8041632;-25,68078665;-53,80414398;-25,68085871;8,2407;67,909827
01.03.002.3.0065;V2;-53,80281998;-25,68111855;-53,80280021;-25,68119406;8,6274;74,431342
01.03.002.3.0065;V3;-53,80319;-25,6823348;-53,80317029;-25,68241173;8,7789;77,0689
01.03.002.3.0065;V4;-53,80453322;-25,6820029;-53,80451408;-25,68207637;8,3914;70,414781
01.03.002.3.0054;V1;-53,80219395;-25,68014295;-53,80217306;-25,68013309;2,3628;5,582622
01.03.002.3.0054;V2;-53,80123191;-25,68037141;-53,80121323;-25,68037262;1,8775;3,525037
01.03.002.3.0054;V3;-53,80151205;-25,68132955;-53,80150399;-25,68132936;0,8083;0,653338
01.03.002.3.0054;V4;-53,80247409;-25,68110109;-53,80246383;-25,68108983;1,6193;2,622226
01.03.002.3.0053;V1;-53,80383467;-25,6797158;-53,80380238;-25,6797277;3,4957;12,220077
01.03.002.3.0053;V2;-53,80249329;-25,68005362;-53,80245862;-25,68006305;3,6288;13,168031
01.03.002.3.0053;V3;-53,80278918;-25,6810079;-53,8027494;-25,68101979;4,2004;17,643131
01.03.002.3.0053;V4;-53,80413056;-25,68067008;-53,80409317;-25,68068444;4,0734;16,592632
01.03.002.0.0034;V1;-53,80443303;-25,67666978;-53,80441925;-25,67668043;1,819;3,308727
01.03.002.0.0034;V2;-53,8032826;-25,67695708;-53,80326749;-25,67696787;1,9317;3,731656
01.03.002.0.0034;V3;-53,80360287;-25,67799877;-53,80358469;-25,67801159;2,3126;5,348346
01.03.002.0.0034;V4;-53,8047533;-25,67771147;-53,80473647;-25,67772414;2,1983;4,832543
01.03.001.2.0048;V1;-53,80083029;-25,66998292;-53,80081686;-25,6699944;1,8558;3,443968
01.03.001.2.0048;V2;-53,79948904;-25,67032079;-53,79947319;-25,67032972;1,8728;3,507449
01.03.001.2.0048;V3;-53,79981186;-25,67136183;-53,79979034;-25,67137345;2,5137;6,318604
01.03.001.2.0048;V4;-53,80115311;-25,67102396;-53,80113402;-25,67103813;2,4789;6,145039
01.03.001.0.0046;V1;-53,8036052;-25,66927033;-53,80359983;-25,6692933;2,6107;6,815883
01.03.001.0.0046;V2;-53,80246053;-25,66957554;-53,80244813;-25,66958074;1,3698;1,876301
01.03.001.0.0046;V3;-53,80280075;-25,67061207;-53,8027653;-25,67062445;3,8096;14,513394
01.03.001.0.0046;V4;-53,80394542;-25,67030686;-53,80391701;-25,67033702;4,3994;19,354423
01.02.002.0.0033;V1;-53,80578741;-25,6763152;-53,80575682;-25,67633708;3,9138;15,317548
01.02.002.0.0033;V2;-53,80463351;-25,67659098;-53,80460507;-25,67662453;4,6958;22,050224
01.02.002.0.0033;V3;-53,80494094;-25,6776358;-53,80492228;-25,67766824;4,0631;16,508524
01.02.002.0.0033;V4;-53,80609484;-25,67736002;-53,80607405;-25,67738078;3,1098;9,670616
;;;;;;;
;;;;;EQM;;
