COD_MUNICIPIO,COD_UNICO_ENDERECO,NUM_QUADRA,NOM_LOGRADOURO,NUM_ENDERECO,NOM_LOGRADOURO_ADJACENTE,DIM_TESTADA,DIM_PROFUNDIDADE,AREA
4104501,01.03.002.3.0054.010A,01.03.002.3.0054,"AV. PARANA",665,"AV. UBIRAJARAS",19.96,22.56,NULL
4104501,01.03.002.3.0054.0500,01.03.002.3.0054,"AV. PARANA",655,,19.96,45.12,NULL
4104501,01.03.002.3.0054.0600,01.03.002.3.0054,"AV. PARANA",625,,19.96,45.12,NULL
4104501,01.03.002.3.0054.070A,01.03.002.3.0054,"AV. PARANA",615,,9.98,45.12,NULL
4104501,01.03.002.3.0054.0700,01.03.002.3.0054,"AV. PARANA",603,,9.98,45.12,NULL
4104501,01.03.002.3.0054.0200,01.03.002.3.0054,"AV. PARANA",589,"RUA CARAMURUS",19.96,30.08,NULL
4104501,01.03.002.3.0054.020A,01.03.002.3.0054,"RUA CARAMURUS",461,,15.04,19.96,NULL
4104501,01.03.002.3.0054.0900,01.03.002.3.0054,"RUA CARAMURUS",447,,20.06,49.90,NULL
4104501,01.03.002.3.0054.040A,01.03.002.3.0054,"RUA CARAMURUS",427,,11.28,19.96,NULL
4104501,01.03.002.3.0054.04AA,01.03.002.3.0054,"RUA CARAMURUS",415,,11.28,19.96,NULL
4104501,01.03.002.3.0054.0400,01.03.002.3.0054,"RUA SANTA CATARINA",3590,"RUA CARAMURUS",19.96,22.56,NULL
4104501,01.03.002.3.0054.1200,01.03.002.3.0054,"RUA SANTA CATARINA",3612,,19.96,45.12,NULL
4104501,01.03.002.3.0054.1100,01.03.002.3.0054,"RUA SANTA CATARINA",3632,,19.96,45.12,NULL
4104501,01.03.002.3.0054.100A,01.03.002.3.0054,"RUA SANTA CATARINA",3646,,9.98,36.79,NULL
4104501,01.03.002.3.0054.1000,01.03.002.3.0054,"RUA SANTA CATARINA",3650,,9.98,45.12,NULL
4104501,01.03.002.3.0054.0300,01.03.002.3.0054,"AV. UBIRAJARAS",380,"RUA SANTA CATARINA",45.12,19.96,NULL
4104501,01.03.002.3.0054.0800,01.03.002.3.0054,"AV. UBIRAJARAS",412,,19.96,49.90,NULL
4104501,01.03.002.3.0054.0100,01.03.002.3.0054,"AV. UBIRAJARAS",438,,22.56,19.96,NULL
